Library Name,State,Visits,Total Programs,Circulation
MARICOPA COUNTY LIBRARY DISTRICT OFFICE,AZ,1678660,1857,9600053
AVONDALE PUBLIC LIBRARY,AZ,90368,1063,206028
BUCKEYE PUBLIC LIBRARY,AZ,105714,532,462091
CHANDLER PUBLIC LIBRARY,AZ,524476,2778,1341671
GLENDALE PUBLIC LIBRARY,AZ,395507,1666,1328972
MESA PUBLIC LIBRARY,AZ,473261,955,2350215
PHOENIX PUBLIC LIBRARY,AZ,1650371,6390,8265178
SCOTTSDALE PUBLIC LIBRARY,AZ,624880,1061,1751962
TEMPE PUBLIC LIBRARY,AZ,226429,654,715490
TOLLESON PUBLIC LIBRARY,AZ,7476,417,33525
WICKENBURG PUBLIC LIBRARY,AZ,12139,102,36205
MOHAVE COUNTY LIBRARY DISTRICT,AZ,300929,,452843
WHITERIVER PUBLIC LIBRARY,AZ,21133,,291
PINAL COUNTY LIBRARY DISTRICT,AZ,32787,420,253949
PIMA COUNTY PUBLIC LIBRARY,AZ,2038727,3695,3710234
NOGALES/SANTA CRUZ COUNTY PUBLIC LIBRARY,AZ,38411,126,71523
PATAGONIA PUBLIC LIBRARY,AZ,2200,22,11994
YAVAPAI COUNTY FREE LIBRARY DISTRICT,AZ,123299,1550,183830
YUMA COUNTY LIBRARY DISTRICT,AZ,366847,1799,596928
DUNCAN PUBLIC LIBRARY,AZ,5776,98,8347
DESERT FOOTHILLS LIBRARY,AZ,73500,682,83272
PEORIA PUBLIC LIBRARY SYSTEM,AZ,253439,771,1174526
YOUNGTOWN PUBLIC LIBRARY,AZ,4939,35,2540
NAVAJO NATION LIBRARY,AZ,36000,,85920
GILA COUNTY LIBRARY DISTRICT,AZ,120,141,433
COLORADO RIVER INDIAN TRIBES LIBRARY/ARCHIVES,AZ,17020,,10455
QUARTZSITE PUBLIC LIBRARY,AZ,19276,,151536
PIMA PUBLIC LIBRARY,AZ,11026,78,20191
NAVAJO COUNTY LIBRARY DISTRICT,AZ,6734,170,7790
BENSON PUBLIC LIBRARY,AZ,28558,75,49884
COPPER QUEEN LIBRARY,AZ,34224,226,59606
DOUGLAS PUBLIC LIBRARY,AZ,30157,83,14503
HUACHUCA CITY PUBLIC LIBRARY,AZ,12539,165,10024
SIERRA VISTA PUBLIC LIBRARY,AZ,128980,501,295803
TOMBSTONE CITY LIBRARY,AZ,5464,14,5187
ELSIE S. HOGAN COMMUNITY LIBRARY,AZ,16487,159,15649
