Library Name,State,Visits,Total Programs,Circulation
CLYDE PUBLIC LIBRARY,OH,35204,503,100110
COLDWATER PUBLIC LIBRARY,OH,23296,432,91910
COLUMBIANA PUBLIC LIBRARY,OH,75504,274,277204
COLUMBUS METROPOLITAN LIBRARY,OH,3857828,7847,12335654
CONNEAUT PUBLIC LIBRARY,OH,16900,362,71778
COSHOCTON COUNTY DISTRICT LIBRARY,OH,108732,624,271491
J.R. CLARKE PUBLIC LIBRARY,OH,13104,145,47696
CRESTLINE PUBLIC LIBRARY,OH,20540,113,50629
CUYAHOGA FALLS LIBRARY,OH,116012,576,588911
DAYTON METRO LIBRARY,OH,1494220,5445,7194658
DEFIANCE PUBLIC LIBRARY,OH,71760,768,228296
DELAWARE COUNTY DISTRICT LIBRARY,OH,385996,687,1691271
DELPHOS PUBLIC LIBRARY,OH,40560,122,263136
DELTA PUBLIC LIBRARY,OH,14664,138,57682
CLAYMONT SCHOOL DISTRICT PUBLIC LIBRARY,OH,11232,154,112510
PATRICK HENRY SCHOOL DISTRICT PUBLIC LIBRARY,OH,14820,258,62202
DOVER PUBLIC LIBRARY,OH,89440,562,266008
HARDIN NORTHERN PUBLIC LIBRARY,OH,9932,77,7137
EAST CLEVELAND PUBLIC LIBRARY,OH,72072,3468,30919
CARNEGIE PUBLIC LIBRARY,OH,13260,87,44573
EAST PALESTINE MEMORIAL PUBLIC LIBRARY,OH,29120,223,51745
PREBLE COUNTY DISTRICT LIBRARY,OH,148512,275,189001
HARRIS-ELMORE PUBLIC LIBRARY,OH,115960,544,65202
ELYRIA PUBLIC LIBRARY,OH,245648,1881,681437
EUCLID PUBLIC LIBRARY,OH,169052,1867,513461
FAIRPORT HARBOR PUBLIC LIBRARY,OH,33280,949,55563
NORMAL MEMORIAL LIBRARY,OH,15080,549,27242
FINDLAY HANCOCK CNTY DIST PUBLIC LIBRARY,OH,233220,588,755588
FOREST-JACKSON PUBLIC LIBRARY,OH,19656,154,36647
FORT RECOVERY PUBLIC LIBRARY,OH,14508,194,50385
KAUBISCH MEMORIAL PUBLIC LIBRARY,OH,95316,344,90008
FRANKLIN PUBLIC LIBRARY,OH,128388,708,504034
BIRCHARD PUBLIC LIBRARY OF SANDUSKY COUNTY,OH,86372,713,361598
GALION PUBLIC LIBRARY ASSOCIATION,OH,52468,345,114161
DR. SAMUEL L. BOSSARD MEMORIAL LIBRARY,OH,81224,495,138816
PORTAGE COUNTY DISTRICT LIBRARY,OH,64064,689,255860
BROWN COUNTY PUBLIC LIBRARY,OH,66976,715,181729
GERMANTOWN PUBLIC LIBRARY,OH,51948,418,115967
GIRARD FREE LIBRARY,OH,70200,403,83980
GNADENHUTTENP.L./INDIAN VALLEY SCHOOL DIST.,OH,7852,156,20697
GRAFTON/MIDVIEW PUBLIC LIBRARY,OH,44512,494,111027
GRANDVIEW HEIGHTS PUBLIC LIBRARY,OH,108160,494,507894
GRANVILLE PUBLIC LIBRARY,OH,90792,384,289042
MARION LAWRENCE MEMORIAL LIBRARY,OH,6760,23,7498
GREENVILLE PUBLIC LIBRARY,OH,28600,197,107313
SOUTHWEST PUBLIC LIBRARIES,OH,338000,495,1093024
LANE PUBLIC LIBRARY,OH,489892,1099,1582073
HIGHLAND COUNTY DISTRICT LIBRARY,OH,99580,820,254697
HOLGATE COMMUNITY LIBRARY,OH,3744,31,7173
HOMER PUBLIC LIBRARY,OH,4264,188,18918
HUBBARD PUBLIC LIBRARY,OH,71916,377,130561
HUDSON LIBRARY AND HISTORICAL SOCIETY,OH,239200,1383,1122342
HURON PUBLIC LIBRARY,OH,125424,448,188736
BRIGGS LAWRENCE COUNTY PUBLIC LIBRARY,OH,82472,856,260515
JACKSON CITY LIBRARY,OH,45500,216,82060
HENDERSON MEMORIAL PUBLIC LIBRARY ASSOCIATION,OH,47424,372,138211
KENT FREE LIBRARY,OH,139464,1087,394037
MARY LOU JOHNSON-HARDIN CNTY PL,OH,48100,2863,83444
KINGSVILLE PUBLIC LIBRARY,OH,28600,373,70088
KINSMAN FREE PUBLIC LIBRARY,OH,15080,254,98939
KIRTLAND PUBLIC LIBRARY,OH,26468,230,135762
LAKEWOOD PUBLIC LIBRARY,OH,307892,1298,1059739
FAIRFIELD COUNTY DISTRICT LIBRARY,OH,166348,724,846567
LEBANON PUBLIC LIBRARY,OH,65780,634,609309
LEETONIA COMMUNITY PUBLIC LIBRARY,OH,6552,130,18815
BROWN MEMORIAL LIBRARY,OH,7072,152,20952
LIBERTY CENTER PUBLIC LIBRARY,OH,13052,332,28002
LIMA PUBLIC LIBRARY,OH,123136,993,392534
LEPPER LIBRARY,OH,24752,139,58009
LOGAN-HOCKING COUNTY DISTRICT LIBRARY,OH,55224,175,177344
LONDON PUBLIC LIBRARY,OH,111436,249,136414
LORAIN PUBLIC LIBRARY,OH,355680,1649,1232255
LOUDONVILLE PUBLIC LIBRARY,OH,67808,264,153798
LOUISVILLE PUBLIC LIBRARY,OH,48828,358,150844
MADISON PUBLIC LIBRARY,OH,84396,1002,391908
ADAMS COUNTY PUBLIC LIBRARY,OH,74100,310,210089
MANSFIELD-RICHLAND COUNTY PUBLIC LIBRARY,OH,457132,2453,1477252
WASHINGTON COUNTY PUBLIC LIBRARY,OH,176763,815,466378
MARION PUBLIC LIBRARY,OH,61256,342,195133
BELMONT COUNTY DISTRICT LIBRARY,OH,72280,1809,132899
MARYSVILLE PUBLIC LIBRARY,OH,136864,575,460779
MASON PUBLIC LIBRARY,OH,52000,548,772402
MASSILLON PUBLIC LIBRARY,OH,154440,2198,502736
HERBERT WESCOAT MEMORIAL LIBRARY,OH,14560,285,20533
MCCOMB PUBLIC LIBRARY,OH,22464,191,36225
KATE LOVE SIMPSON-MORGAN COUNTY LIBRARY,OH,75920,283,74378
MECHANICSBURG PUBLIC LIBRARY,OH,13468,288,27300
MEDINA COUNTY DISTRICT LIBRARY,OH,446576,2958,2715145
MENTOR PUBLIC LIBRARY,OH,251524,1937,1104361
EVERGREEN COMMUNITY LIBRARY,OH,12740,130,18938
MIDPOINTE LIBRARY SYSTEM,OH,512096,2915,1897583
MILAN-BERLIN LIBRARY DISTRICT,OH,13520,357,116207
HOLMES COUNTY DISTRICT PUBLIC LIBRARY,OH,83200,363,387696
MINERVA PUBLIC LIBRARY,OH,56212,782,195024
MONROEVILLE PUBLIC LIBRARY,OH,6552,233,14397
MONTPELIER PUBLIC LIBRARY,OH,91000,323,79699
SALEM TOWNSHIP PUBLIC LIBRARY,OH,6032,123,66427
MT GILEAD PUBLIC LIBRARY,OH,13520,194,48722
MT STERLING PUBLIC LIBRARY,OH,5564,105,17345
"MT VERNON & KNOX COUNTY, PUBLIC LIBRARY OF",OH,315016,741,323565
RIDGEMONT PUBLIC LIBRARY,OH,7228,94,20553
NAPOLEON PUBLIC LIBRARY,OH,37700,217,101280
ATHENS COUNTY PUBLIC LIBRARIES,OH,264004,1539,509064
NEW CARLISLE PUBLIC LIBRARY,OH,51636,625,131486
PERRY COUNTY DISTRICT LIBRARY,OH,59800,403,173201
NEW LONDON PUBLIC LIBRARY,OH,10920,162,36218
NEW MADISON PUBLIC LIBRARY,OH,6708,219,67008
TUSCARAWAS COUNTY PUBLIC LIBRARY,OH,146640,1455,638753
NEW STRAITSVILLE PUBLIC LIBRARY,OH,2080,108,4658
LICKING COUNTY LIBRARY,OH,182208,950,878078
NEWCOMERSTOWN PUBLIC LIBRARY,OH,28444,169,59423
NEWTON FALLS PUBLIC LIBRARY,OH,60684,365,90677
MCKINLEY MEMORIAL LIBRARY,OH,46904,315,175735
NORTH BALTIMORE PUBLIC LIBRARY,OH,32084,189,76258
NORTH CANTON PUBLIC LIBRARY,OH,122252,561,719326
NORWALK PUBLIC LIBRARY,OH,47736,191,130070
OAK HARBOR PUBLIC LIBRARY,OH,31460,429,40630
OAK HILL PUBLIC LIBRARY,OH,36296,20,24556
WRIGHT MEMORIAL PUBLIC LIBRARY,OH,96408,450,350987
OBERLIN PUBLIC LIBRARY,OH,21892,179,135501
ORRVILLE PUBLIC LIBRARY,OH,64636,373,456553
GRAND VALLEY PUBLIC LIBRARY,OH,9360,250,157308
PUTNAM COUNTY DISTRICT LIBRARY,OH,98592,1346,199755
MORLEY LIBRARY,OH,92508,858,371409
PATASKALA PUBLIC LIBRARY,OH,118300,204,194624
PAULDING COUNTY CARNEGIE LIBRARY,OH,48932,1327,204997
PEMBERVILLE PUBLIC LIBRARY,OH,24388,443,116152
PENINSULA LIBRARY & HISTORICAL SOCIETY,OH,14508,186,82368
PERRY PUBLIC LIBRARY,OH,36712,297,145342
WAY PUBLIC LIBRARY,OH,172640,427,725481
PICKERINGTON PUBLIC LIBRARY,OH,153348,745,570203
PIQUA PUBLIC LIBRARY,OH,70460,533,68465
PLAIN CITY PUBLIC LIBRARY,OH,32240,96,164483
MEIGS COUNTY DISTRICT PUBLIC LIBRARY,OH,88608,259,139246
IDA RUPP PUBLIC LIBRARY,OH,83460,570,151981
PORTSMOUTH PUBLIC LIBRARY,OH,65000,1070,295490
REED MEMORIAL LIBRARY,OH,103376,499,217629
RICHWOOD-NORTH UNION PUBLIC LIBRARY,OH,31200,131,39218
UNION TOWNSHIP PUBLIC LIBRARY,OH,27248,130,107261
ROCK CREEK PUBLIC LIBRARY,OH,19604,258,41306
ROCKFORD CARNEGIE LIBRARY,OH,6240,115,24853
ROCKY RIVER PUBLIC LIBRARY,OH,218140,933,654645
ROSSFORD PUBLIC LIBRARY,OH,66924,190,109415
SABINA PUBLIC LIBRARY,OH,21320,35,21459
SALEM PUBLIC LIBRARY,OH,109200,976,170562
SANDUSKY LIBRARY,OH,100568,1579,367059
SHAKER HEIGHTS PUBLIC LIBRARY,OH,212524,699,677844
PERRY COOK MEMORIAL PUBLIC LIBRARY,OH,7176,68,21692
MARVIN MEMORIAL LIBRARY,OH,34892,673,77380
SHELBY COUNTY LIBRARIES - AMOS MEMORIAL,OH,127244,550,201024
CLARK COUNTY PUBLIC LIBRARY,OH,246012,736,970966
ST. CLAIRSVILLE PUBLIC LIBRARY,OH,52572,289,97565
ST. MARYS COMMUNITY PUBLIC LIBRARY,OH,33072,262,94271
ST. PARIS PUBLIC LIBRARY,OH,22258,911,65544
"STEUBENVILLE & JEFFERSON COUNTY, PL OF",OH,118976,0,308859
STOW-MUNROE FALLS PUBLIC LIBRARY,OH,132080,1140,671765
COMMUNITY LIBRARY,OH,141908,905,273078
SWANTON PUBLIC LIBRARY,OH,17836,292,40239
MOHAWK COMMUNITY LIBRARY,OH,19656,118,64882
TIFFIN-SENECA PUBLIC LIBRARY,OH,137696,327,248424
TIPP CITY PUBLIC LIBRARY,OH,61672,453,197764
TOLEDO-LUCAS COUNTY PUBLIC LIBRARY,OH,1731964,4699,3950388
TROY-MIAMI COUNTY PUBLIC LIBRARY,OH,130780,1040,521176
TWINSBURG PUBLIC LIBRARY,OH,171652,1016,1117590
UPPER ARLINGTON PUBLIC LIBRARY,OH,387140,1024,1567845
UPPER SANDUSKY COMMUNITY LIBRARY,OH,90740,524,99389
CHAMPAIGN COUNTY LIBRARY,OH,41496,437,182655
BRUMBACK LIBRARY,OH,13000,648,112020
RITTER PUBLIC LIBRARY,OH,70356,655,213710
WORCH MEMORIAL PUBLIC LIBRARY,OH,6240,272,49574
ELLA M. EVERHARD PUBLIC LIBRARY,OH,121680,2041,443198
AUGLAIZE COUNTY PUBLIC DISTRICT LIBRARY,OH,117000,1516,234235
WARREN-TRUMBULL COUNTY PUBLIC LIBRARY,OH,482976,874,692701
CARNEGIE PUBLIC LIBRARY,OH,34112,263,90731
WAUSEON PUBLIC LIBRARY,OH,9724,130,56072
GARNET A. WILSON PL OF PIKE CO,OH,7852,156,90526
WAYNE PUBLIC LIBRARY,OH,8632,109,74762
MARY L. COOK PUBLIC LIBRARY,OH,30888,813,258434
HERRICK MEMORIAL PUBLIC LIBRARY,OH,12480,339,52250
SYLVESTER MEMORIAL WELLSTON PUBLIC LIBRARY,OH,10608,219,19685
WELLSVILLE CARNEGIE PUBLIC LIBRARY,OH,8424,254,29579
HURT/BATTELLE MEMORIAL LIBRARY/WEST JEFFERSON,OH,42900,154,44084
MILTON UNION PUBLIC LIBRARY,OH,53352,337,75821
WESTERVILLE PUBLIC LIBRARY,OH,305968,1294,1534005
PORTER PUBLIC LIBRARY,OH,241280,2289,829149
WESTON PUBLIC LIBRARY,OH,10452,273,87066
WICKLIFFE PUBLIC LIBRARY,OH,143832,391,242693
HURON COUNTY COMMUNITY LIBRARY,OH,43368,747,110026
WILLOUGHBY-EASTLAKE PUBLIC LIBRARY,OH,214084,983,974783
WILMINGTON PUBLIC LIBRARY OF CLINTON COUNTY,OH,78208,631,134049
MONROE COUNTY DISTRICT LIBRARY,OH,26832,141,88647
WAYNE COUNTY PUBLIC LIBRARY,OH,323388,2052,1791922
WORTHINGTON PUBLIC LIBRARY,OH,502736,931,2494321
GREENE COUNTY PUBLIC LIBRARY,OH,516308,3442,2888428
"YOUNGSTOWN AND MAHONING COUNTY, PL OF",OH,525200,3041,1357811
DR. EARL S. SLOAN LIBRARY,OH,2340,4,1093
MUSKINGUM COUNTY LIBRARY SYSTEM,OH,181532,1069,470231
WAGNALLS MEMORIAL LIBRARY,OH,22568,246,125403
ADA PUBLIC LIBRARY,OK,75105,538,107859
SOUTHERN PRAIRIE LIBRARY SYSTEM,OK,109305,255,61233
ALVA PUBLIC LIBRARY,OK,18052,71,30009
ANADARKO COMMUNITY LIBRARY,OK,3380,34,10320
ANTLERS PUBLIC LIBRARY,OK,71934,25,14450
ARDMORE PUBLIC LIBRARY,OK,58734,707,249170
SOUTHERN OKLAHOMA LIBRARY SYSTEM,OK,288452,1715,881711
BARNSDALL - ETHEL BRIGGS MEMORIAL LIBRARY,OK,1397,8,2777
BARTLESVILLE PUBLIC LIBRARY,OK,131876,999,381499
BEAVER COUNTY PIONEER LIBRARY,OK,3600,103,4475
BLACKWELL PUBLIC LIBRARY,OK,10812,41,17633
BOISE CITY - SOUTAR MEMORIAL LIBRARY,OK,3985,38,3849
BRISTOW - MONTFORT & ALLIE JONES MEM LIBRARY,OK,8700,24,39457
BUFFALO PUBLIC LIBRARY,OK,2160,8,672
CARMEN PUBLIC LIBRARY,OK,1920,21,1198
CARNEGIE PUBLIC LIBRARY,OK,2964,4,2751
CHANDLER PUBLIC LIBRARY,OK,3000,33,12393
CHELSEA PUBLIC LIBRARY,OK,3300,0,3635
CHEROKEE CITY- COUNTY LIBRARY,OK,18218,242,8298
CHICKASHA PUBLIC LIBRARY,OK,38482,299,60022
CLEVELAND - JAY C BYERS MEMORIAL LIBRARY,OK,19510,79,29206
WESTERN PLAINS LIBRARY SYSTEM,OK,155179,590,141939
COWETA PUBLIC LIBRARY,OK,25098,571,35291
CRESCENT COMMUNITY LIBRARY,OK,961,150,2188
CUSHING PUBLIC LIBRARY,OK,13139,29,19209
DEWEY - TYLER MEMORIAL LIBRARY,OK,17112,2,6137
DRUMRIGHT PUBLIC LIBRARY,OK,2490,7,44754
DUNCAN PUBLIC LIBRARY,OK,97886,1274,119694
DURANT-DONALD REYNOLDS COMMUNITY CT & LIBRARY,OK,46994,403,78241
EL RENO CARNEGIE LIBRARY,OK,14703,45,26017
ELK CITY CARNEGIE LIBRARY,OK,38292,61,46832
ENID-PUBLIC LIBRARY OF ENID AND GARFIELD CO,OK,99744,713,167871
FAIRFAX PUBLIC LIBRARY,OK,3402,2,3884
FAIRVIEW CITY LIBRARY,OK,4150,92,28439
FREDERICK PUBLIC LIBRARY,OK,3000,13,4157
GEARY PUBLIC LIBRARY,OK,893,5,16151
GRANDFIELD PUBLIC LIBRARY,OK,1450,3,1992
GUTHRIE PUBLIC LIBRARY,OK,26000,214,61135
GUYMON PUBLIC LIBRARY & ARTS CENTER,OK,24967,201,25256
HENNESSEY PUBLIC LIBRARY,OK,8459,289,7048
HENRYETTA PUBLIC LIBRARY,OK,11520,6,4852
HINTON - NORMAN SMITH MEMORIAL LIBRARY,OK,14768,80,16048
HOBART PUBLIC LIBRARY,OK,5250,10,19691
HOLDENVILLE - GRACE PICKENS PUBLIC LIBRARY,OK,6222,29,14534
HOMINY PUBLIC LIBRARY,OK,8753,73,7274
HOOKER - OLIVE WARNER MEMORIAL LIBRARY,OK,11000,28,5973
INOLA PUBLIC LIBRARY,OK,7552,126,26180
KINGFISHER MEMORIAL LIBRARY,OK,122197,689,66017
KONAWA - KENNEDY LIBRARY OF KONAWA,OK,14400,6,15709
LAWTON PUBLIC LIBRARY,OK,98523,308,219765
LINDSAY COMMUNITY LIBRARY,OK,5000,3,5549
LOCUST GROVE PUBLIC LIBRARY,OK,4222,9,5325
MADILL CITY-COUNTY LIBRARY,OK,15028,37,21289
MANGUM - MARGARET CARDER LIBRARY,OK,3900,8,5288
MANNFORD PUBLIC LIBRARY,OK,16171,55,18122
MARLOW - GARLAND SMITH PUBLIC LIBRARY,OK,17368,335,21998
MAYSVILLE PUBLIC LIBRARY,OK,3120,17,1879
SOUTHEAST OKLAHOMA LIBRARY SYSTEM,OK,309334,2471,332058
MEDFORD PUBLIC LIBRARY,OK,8780,8,5072
MIAMI PUBLIC LIBRARY,OK,32810,214,60775
MT VIEW - ADDIE DAVIS MEMORIAL LIBRARY,OK,3172,21,4609
EASTERN OKLAHOMA LIBRARY SYSTEM,OK,415132,2029,653778
MUSTANG PUBLIC LIBRARY,OK,84064,427,187998
NEWKIRK PUBLIC LIBRARY,OK,8060,17,9919
PIONEER LIBRARY SYSTEM,OK,951325,2621,2481357
NOWATA CITY-COUNTY LIBRARY,OK,3204,28,6140
OKEENE PUBLIC LIBRARY,OK,1250,53,3648
METROPOLITAN LIBRARY SYSTEM,OK,1592761,4194,6806735
OKMULGEE PUBLIC LIBRARY,OK,17902,56,37811
PAULS VALLEY-NORA SPARKS WARREN MEM LIBRARY,OK,33084,149,29979
PAWHUSKA PUBLIC LIBRARY,OK,10090,21,8571
PAWNEE PUBLIC LIBRARY,OK,6350,3,6129
PERKINS - THOMAS-WILHITE MEMORIAL LIBRARY,OK,18723,178,26687
PERRY CARNEGIE LIBRARY,OK,11003,165,20852
PONCA CITY LIBRARY,OK,47970,416,109339
PRAGUE - HAYNIE PUBLIC LIBRARY,OK,6997,0,20034
PRYOR - THOMAS J HARRISON PUBLIC LIBRARY,OK,35664,43,53091
RUSH SPRINGS-GLOVER SPENCER MEMORIAL LIBRARY,OK,1310,3,3386
SAPULPA - BARTLETT CARNEGIE PUBLIC LIBRARY,OK,123669,174,35641
SAYRE PUBLIC LIBRARY,OK,3580,27,3580
SEMINOLE PUBLIC LIBRARY,OK,34742,36,33571
SHATTUCK PUBLIC LIBRARY,OK,6500,47,14184
STRATFORD - CHANDLER-WATTS LIBRARY,OK,17200,37,24885
STROUD PUBLIC LIBRARY,OK,2868,1,5022
TONKAWA PUBLIC LIBRARY,OK,3612,0,11235
TULSA CITY-COUNTY LIBRARY SYSTEM,OK,1398824,1956,6447981
VINITA PUBLIC LIBRARY,OK,24489,50,28043
WAGONER CITY PUBLIC LIBRARY,OK,21729,88,28716
WALTERS PUBLIC LIBRARY,OK,1000,0,7000
WATONGA PUBLIC LIBRARY,OK,10913,80,17317
WAURIKA PUBLIC LIBRARY,OK,7826,42,3754
WAYNOKA PUBLIC LIBRARY,OK,5563,5,3709
WETUMKA PUBLIC LIBRARY,OK,1092,6,1500
WEWOKA PUBLIC LIBRARY,OK,3300,7,2382
WOODWARD PUBLIC LIBRARY,OK,21330,102,66874
WYNNEWOOD PUBLIC LIBRARY,OK,5217,40,5535
YALE PUBLIC LIBRARY,OK,3020,67,10416
YUKON - MABEL C. FRY PUBLIC LIBRARY,OK,63604,257,207393
OKEMAH PUBLIC LIBRARY,OK,15420,3,34434
TRYON PUBLIC LIBRARY,OK,1800,19,1933
KELLYVILLE PUBLIC LIBRARY,OK,2857,4,2332
LANGLEY PUBLIC LIBRARY,OK,7300,54,8096
CLAREMORE - WILL ROGERS LIBRARY,OK,67645,139,131597
STILLWATER PUBLIC LIBRARY,OK,131734,214,337029
MOUNDS PUBLIC LIBRARY,OK,3444,68,3399
RINGLING - GLEASON MEMORIAL LIBRARY,OK,2217,45,3549
ALLEN PUBLIC LIBRARY,OK,4026,24,2440
CATOOSA PUBLIC LIBRARY,OK,11086,83,28241
LAVERNE DELPHIAN PUBLIC LIBRARY,OK,3036,49,3680
PIEDMONT PUBLIC LIBRARY,OK,3627,234,23504
HYDRO PUBLIC LIBRARY,OK,1468,11,1468
SALINA PUBLIC LIBRARY,OK,1461,12,11577
TALALA PUBLIC LIBRARY,OK,1000,1,1096
ELGIN COMMUNITY LIBRARY,OK,19906,317,22644
APACHE PUBLIC LIBRARY,OK,5245,4,2511
MEEKER PUBLIC LIBRARY,OK,4752,15,2264
KAW CITY - J.A. WALKER MEMORIAL LIBRARY,OK,150,0,475
TEXHOMA PUBLIC LIBRARY,OK,950,0,1090
MOORELAND - BEYOND THE PAGES,OK,1200,50,2565
CHOUTEAU PUBLIC LIBRARY,OK,4964,77,4786
TUTTLE PUBLIC LIBRARY,OK,1564,6,5025
AGNESS COMMUNITY LIBRARY DISTRICT,OR,620,,1429
AMITY PUBLIC LIBRARY,OR,2080,,7284
ESTACADA PUBLIC LIBRARY,OR,18542,,103336
EUGENE PUBLIC LIBRARY,OR,505270,,2090182
SIUSLAW PUBLIC LIBRARY DISTRICT,OR,130708,,121560
FOREST GROVE CITY LIBRARY,OR,65759,,300404
FOSSIL PUBLIC LIBRARY,OR,506,,2197
GLADSTONE PUBLIC LIBRARY,OR,31383,,137684
CURRY PUBLIC LIBRARY DISTRICT,OR,85787,,67357
ARLINGTON PUBLIC LIBRARY,OR,2177,,2534
JOSEPHINE COMMUNITY LIBRARY DISTRICT,OR,58878,,249354
HARRISBURG PUBLIC LIBRARY,OR,1000,,5681
HELIX PUBLIC LIBRARY,OR,1485,,1653
HERMISTON PUBLIC LIBRARY,OR,29619,,54946
HILLSBORO PUBLIC LIBRARY,OR,427357,,2381480
INDEPENDENCE PUBLIC LIBRARY,OR,46333,,66729
JEFFERSON PUBLIC LIBRARY,OR,7019,,40945
ASTORIA PUBLIC LIBRARY,OR,41499,,21215
GRANT COUNTY LIBRARY,OR,520,,24007
JOSEPH CITY LIBRARY,OR,4472,,9515
JUNCTION CITY PUBLIC LIBRARY,OR,7820,,33050
KLAMATH COUNTY LIBRARY SERVICE DISTRICT,OR,123836,,474950
F. MAXINE AND THOMAS W. COOK MEMORIAL LIBRARY,OR,44815,,155837
LAKE OSWEGO PUBLIC LIBRARY,OR,143254,,757335
LAKESIDE PUBLIC LIBRARY,OR,10747,,22615
LAKE COUNTY LIBRARY DISTRICT,OR,13247,,25722
LANGLOIS LIBRARY DISTRICT,OR,5038,,14863
LEBANON PUBLIC LIBRARY,OR,56693,,141726
DRIFTWOOD PUBLIC LIBRARY,OR,46915,,97064
ATHENA PUBLIC LIBRARY,OR,7783,,10757
LYONS PUBLIC LIBRARY,OR,1400,,14618
JEFFERSON COUNTY LIBRARY DISTRICT,OR,29965,,55613
SOUTHERN WASCO COUNTY LIBRARY,OR,4932,,8869
MCMINNVILLE PUBLIC LIBRARY,OR,80723,,323062
ADAMS PUBLIC LIBRARY,OR,2092,,3814
JACKSON COUNTY LIBRARY SERVICES,OR,377237,,1254122
MILTON-FREEWATER PUBLIC LIBRARY,OR,10818,,36069
LEDDING LIBRARY,OR,149899,,570967
MOLALLA PUBLIC LIBRARY,OR,28493,,161191
MONMOUTH PUBLIC LIBRARY,OR,27922,,106071
BAKER COUNTY LIBRARY DISTRICT,OR,81061,,106603
MT. ANGEL PUBLIC LIBRARY,OR,11206,,38958
DORA PUBLIC LIBRARY,OR,5960,,7468
FLORA M. LAIRD MEMORIAL LIBRARY,OR,17614,,38966
NEWBERG PUBLIC LIBRARY,OR,65646,,287065
NEWPORT PUBLIC LIBRARY,OR,52389,,143909
NORTH BEND PUBLIC LIBRARY,OR,49937,,109804
NYSSA PUBLIC LIBRARY,OR,7776,,11941
OAKRIDGE PUBLIC LIBRARY,OR,8200,,6123
ONTARIO LIBRARY DISTRICT,OR,10200,,54373
OREGON CITY PUBLIC LIBRARY,OR,113945,,458748
BANDON PUBLIC LIBRARY,OR,15866,,89241
PENDLETON PUBLIC LIBRARY,OR,39479,,75196
PILOT ROCK PUBLIC LIBRARY,OR,1081,,2594
PORT ORFORD PUBLIC LIBRARY,OR,25709,,39856
MULTNOMAH COUNTY LIBRARY,OR,1696686,,16506307
HAZEL M. LEWIS LIBRARY,OR,16927,,9136
CROOK COUNTY LIBRARY,OR,66902,,122922
RAINIER CITY LIBRARY,OR,1560,,1653
SALEM PUBLIC LIBRARY,OR,141889,,1120541
SANDY PUBLIC LIBRARY,OR,72620,,252588
SCAPPOOSE PUBLIC LIBRARY DISTRICT,OR,40102,,71974
SCIO PUBLIC LIBRARY,OR,3147,,8449
SEASIDE PUBLIC LIBRARY,OR,82736,,79894
SHERIDAN PUBLIC LIBRARY,OR,4092,,14543
SILVER FALLS LIBRARY DISTRICT,OR,58603,,258801
SPRINGFIELD PUBLIC LIBRARY,OR,202618,,323534
BEAVERTON CITY LIBRARY,OR,395610,,2613539
ST. HELENS PUBLIC LIBRARY,OR,25500,,60789
STANFIELD PUBLIC LIBRARY,OR,17371,,8519
STAYTON PUBLIC LIBRARY,OR,28055,,152847
SWEET HOME PUBLIC LIBRARY,OR,24000,,47160
THE DALLES-WASCO COUNTY LIBRARY,OR,73957,,164587
TIGARD PUBLIC LIBRARY,OR,138394,,1134165
TILLAMOOK COUNTY LIBRARY,OR,142048,,216025
TOLEDO PUBLIC LIBRARY,OR,3120,,38603
TUALATIN PUBLIC LIBRARY,OR,129951,,540984
DESCHUTES PUBLIC LIBRARY DISTRICT,OR,608875,,2273706
UMATILLA PUBLIC LIBRARY,OR,3786,,7410
UNION CARNEGIE PUBLIC LIBRARY,OR,9030,,12159
EMMA HUMPHREY LIBRARY,OR,3358,,5518
FERN RIDGE LIBRARY DISTRICT,OR,29113,,82915
VERNONIA PUBLIC LIBRARY,OR,11845,,17492
WALDPORT PUBLIC LIBRARY,OR,3785,,85483
WALLOWA PUBLIC LIBRARY,OR,5827,,7686
WEST LINN PUBLIC LIBRARY,OR,106298,,447563
WESTON PUBLIC LIBRARY,OR,2646,,3255
WILLAMINA PUBLIC LIBRARY,OR,4920,,17380
WILSONVILLE PUBLIC LIBRARY,OR,115572,,363990
WOODBURN PUBLIC LIBRARY,OR,35562,,115829
YACHATS PUBLIC LIBRARY,OR,0,,4118
ALBANY PUBLIC LIBRARY,OR,88139,,387622
CHETCO COMMUNITY PUBLIC LIBRARY,OR,36912,,93151
BROWNSVILLE COMMUNITY LIBRARY,OR,6961,,14376
HARNEY COUNTY LIBRARY,OR,18674,,35154
CANBY PUBLIC LIBRARY,OR,62204,,221110
CLATSKANIE LIBRARY DISTRICT,OR,5294,,15970
GILLIAM COUNTY LIBRARY,OR,6728,,9669
COOS BAY PUBLIC LIBRARY,OR,61446,,210777
COQUILLE PUBLIC LIBRARY,OR,30608,,57543
CORNELIUS PUBLIC LIBRARY,OR,69386,,120739
CORVALLIS-BENTON COUNTY PUBLIC LIBRARY,OR,282990,,1306655
COTTAGE GROVE PUBLIC LIBRARY,OR,11058,,37534
DALLAS PUBLIC LIBRARY,OR,68227,,215163
MARY GILKEY PUBLIC LIBRARY,OR,6211,,6507
DUFUR SCHOOL/COMMUNITY LIBRARY,OR,12800,,6761
ECHO PUBLIC LIBRARY,OR,2625,,4161
ELGIN PUBLIC LIBRARY,OR,3071,,4055
CEDAR MILL COMMUNITY LIBRARY,OR,350505,,2001444
CLACKAMAS COUNTY - OAK LODGE PUBLIC LIBRARY,OR,54999,,188773
UKIAH PUBLIC LIBRARY,OR,450,,1140
